farmer_id,gender,age,state,education_level,years_farming_experience,owns_smartphone,has_bank_account,has_formal_id,belongs_to_cooperative,distance_to_market_km,distance_to_bank_km,has_off_farm_income,has_prior_loan,utility_bill_payment_score,mobile_money_activity_score,land_ownership_status,irrigation_access,has_weather_insurance,has_storage_facility,uses_improved_seeds,uses_fertilizer,digital_footprint_score,loan_repayment_history,region,primary_crop,farm_size_hectares,yield_tons_per_hectare,total_production_tons,crop_price_per_ton,annual_farm_revenue,annual_off_farm_income,total_annual_income,annual_farm_expenses,farm_profit,total_profit,loan_amount,loan_repayment_rate,loan_purpose,credit_score,creditworthiness,max_recommended_loan,suitable_loan_products,default_probability,profile_summary
NGF000001,Male,27,Jigawa,Primary,2,True,False,False,False,20.36744641574322,25.715193852428296,False,False,9,4,Leased,True,False,False,False,True,3,None,North West,Cotton,1.29,1.59,2.0511000000000004,500000,1025550.0000000002,0.0,1025550.0000000002,322000.0,703550.0000000002,703550.0000000002,0.0,0.0,None,597,Needs Improvement,542000.0,"Input Finance, Crop Insurance",0.1163,"Male farmer, age 27, from Jigawa state. He has 2 years of farming experience with Primary education. Primarily grows Cotton on 1.29 hectares. Annual farm revenue: ₦1,025,550. No prior formal loan history. Credit assessment: needs improvement creditworthiness with a score of 597."
NGF000002,Female,38,Ebonyi,Tertiary,11,False,False,True,False,33.71664760272244,6.460825319378332,False,False,1,4,Family Owned,False,False,False,False,True,8,None,South East,Cassava,1.82,18.46,33.5972,100000,3359720.0,0.0,3359720.0,171000.0,3188720.0,3188720.0,0.0,0.0,None,644,Fair,2805000.0,"Input Finance, Equipment Loan, Working Capital, Crop Insurance",0.0878,"Female farmer, age 38, from Ebonyi state. She has 11 years of farming experience with Tertiary education. Primarily grows Cassava on 1.82 hectares. Annual farm revenue: ₦3,359,720. No prior formal loan history. Credit assessment: fair creditworthiness with a score of 644."
NGF000003,Female,22,Adamawa,Secondary,15,True,False,False,True,44.82817832235107,42.7268191794251,False,False,7,2,Leased,True,False,True,False,True,6,None,North East,Millet,4.58,2.32,10.625599999999999,160000,1700095.9999999998,0.0,1700095.9999999998,629000.0,1071095.9999999998,1071095.9999999998,0.0,0.0,None,684,Good,1836000.0,"Input Finance, Equipment Loan, Working Capital, Processing Equipment, Crop Insurance, Digital Finance Solutions",0.0488,"Female farmer, age 22, from Adamawa state. She has 15 years of farming experience with Secondary education. Primarily grows Millet on 4.58 hectares. She is a member of a farming cooperative. Annual farm revenue: ₦1,700,096. No prior formal loan history. Credit assessment: good creditworthiness with a score of 684."
NGF000004,Male,44,Edo,No Formal Education,6,True,False,False,False,9.756727902471928,2.8243519321000035,True,False,9,9,Family Owned,False,False,False,False,True,8,None,South South,Rubber,1.07,1.13,1.2091,600000,725460.0,127000.0,852460.0,284000.0,441460.0,568460.0,0.0,0.0,None,675,Good,838000.0,"Input Finance, Equipment Loan, Working Capital, Processing Equipment, Crop Insurance, Digital Finance Solutions",0.0514,"Male farmer, age 44, from Edo state. He has 6 years of farming experience with No Formal Education education. Primarily grows Rubber on 1.07 hectares. He has additional income sources beyond farming. Annual farm revenue: ₦725,460. No prior formal loan history. Credit assessment: good creditworthiness with a score of 675."
NGF000005,Male,40,Bayelsa,Primary,14,True,False,True,True,26.218513398357025,35.58846484107452,True,False,3,5,Family Owned,False,False,True,True,True,8,None,South South,Plantain,1.73,15.37,26.5901,200000,5318020.0,174000.0,5492020.0,298000.0,5020020.0,5194020.0,0.0,0.0,None,734,Excellent,8748000.0,"Input Finance, Equipment Loan, Working Capital, Land Acquisition, Processing Equipment, Crop Insurance, Digital Finance Solutions",0.0242,"Male farmer, age 40, from Bayelsa state. He has 14 years of farming experience with Primary education. Primarily grows Plantain on 1.73 hectares. He is a member of a farming cooperative. He has additional income sources beyond farming. Annual farm revenue: ₦5,318,020. No prior formal loan history. Credit assessment: excellent creditworthiness with a score of 734."
NGF000006,Male,37,Ondo,Primary,1,True,True,True,False,6.8204366448944596,42.69039172976219,False,False,7,5,Family Owned,False,False,False,True,True,7,None,South West,Cassava,1.46,12.87,18.7902,100000,1879019.9999999998,0.0,1879019.9999999998,162000.0,1717019.9999999998,1717019.9999999998,0.0,0.0,None,654,Good,2018000.0,"Input Finance, Equipment Loan, Working Capital, Processing Equipment, Crop Insurance, Digital Finance Solutions",0.0877,"Male farmer, age 37, from Ondo state. He has 1 years of farming experience with Primary education. Primarily grows Cassava on 1.46 hectares. Annual farm revenue: ₦1,879,020. No prior formal loan history. Credit assessment: good creditworthiness with a score of 654."
NGF000007,Male,37,Osun,Primary,5,False,True,True,True,14.693302610686429,51.54413856283902,True,False,7,7,Family Owned,True,False,False,False,True,3,None,South West,Cassava,3.87,17.0,65.79,100000,6579000.000000001,169000.0,6748000.000000001,441000.0,6138000.000000001,6307000.000000001,0.0,0.0,None,724,Excellent,9008000.0,"Input Finance, Equipment Loan, Working Capital, Land Acquisition, Processing Equipment, Crop Insurance",0.0283,"Male farmer, age 37, from Osun state. He has 5 years of farming experience with Primary education. Primarily grows Cassava on 3.87 hectares. He is a member of a farming cooperative. He has additional income sources beyond farming. Annual farm revenue: ₦6,579,000. No prior formal loan history. Credit assessment: excellent creditworthiness with a score of 724."
NGF000008,Female,42,Adamawa,Secondary,15,False,True,False,True,34.61308660536888,69.40208976151436,True,True,2,3,Family Owned,False,False,False,False,True,5,None,North East,Sorghum,6.5,2.38,15.469999999999999,170000,2629900.0,291000.0,2920900.0,854000.0,1775900.0,2066900.0,681000.0,0.77,Transport,710,Excellent,3608000.0,"Input Finance, Equipment Loan, Working Capital, Land Acquisition, Processing Equipment, Crop Insurance",0.034,"Female farmer, age 42, from Adamawa state. She has 15 years of farming experience with Secondary education. Primarily grows Sorghum on 6.5 hectares. She is a member of a farming cooperative. She has additional income sources beyond farming. Annual farm revenue: ₦2,629,900. Has prior loan experience with none repayment history. Credit assessment: excellent creditworthiness with a score of 710."
NGF000009,Male,23,Cross River,Secondary,5,True,True,False,False,4.808997127159923,18.946466232035778,False,False,5,6,Owned,False,False,False,False,True,2,None,South South,Rubber,2.66,1.83,4.867800000000001,600000,2920680.0000000005,0.0,2920680.0000000005,699000.0,2221680.0000000005,2221680.0000000005,0.0,0.0,None,655,Good,3139000.0,"Input Finance, Equipment Loan, Working Capital, Processing Equipment, Crop Insurance",0.0815,"Male farmer, age 23, from Cross River state. He has 5 years of farming experience with Secondary education. Primarily grows Rubber on 2.66 hectares. Annual farm revenue: ₦2,920,680. No prior formal loan history. Credit assessment: good creditworthiness with a score of 655."
NGF000010,Female,21,Adamawa,Tertiary,15,True,True,True,False,33.45557051255352,23.244897674769778,True,True,10,1,Leased,True,False,True,False,False,1,Excellent,North East,Millet,3.54,2.92,10.3368,160000,1653888.0,628000.0,2281888.0,419000.0,1234888.0,1862888.0,551000.0,0.95,Seeds/Fertilizer,850,Excellent,3026000.0,"Input Finance, Equipment Loan, Working Capital, Land Acquisition, Processing Equipment, Crop Insurance",0.01,"Female farmer, age 21, from Adamawa state. She has 15 years of farming experience with Tertiary education. Primarily grows Millet on 3.54 hectares. She has additional income sources beyond farming. Annual farm revenue: ₦1,653,888. Has prior loan experience with excellent repayment history. Credit assessment: excellent creditworthiness with a score of 850."
