state,age,gender,education,household_size,farm_size_hectares,primary_crop,secondary_crop,livestock_type,farming_experience_years,has_bank_account,uses_mobile_money,monthly_income_naira,off_farm_income_naira,utility_payment_score,monthly_mobile_spend_naira,has_smartphone,has_previous_loan,last_loan_amount_naira,loan_product_type,repaid_last_loan_on_time,has_default_history,cooperative_member,cooperative_repayment_rate_percent,last_utility_payment_date,last_rent_payment_date,social_media_usage,ecommerce_activity,total_income,income_per_capita,farm_size_category
Borno,45,Male,Primary,3,1.42,Sorghum,Cassava,Goats,1,False,False,193472,37356,695,9754,True,False,0,None,False,False,False,0,2025-03-26,2025-03-31,Low,True,230828,76942.66666666667,Small (1-5ha)
Katsina,57,Male,None,1,9.76,Rice,Cocoa,Cattle,8,False,False,171525,66565,824,1958,True,False,0,None,False,False,True,88,2025-03-02,2025-04-05,High,True,238090,238090.0,Medium (5-10ha)
Enugu,27,Female,None,6,0.2,Tomato,Cassava,Pigs,8,False,True,128922,3375,538,4211,False,True,236986,Bundled Services,True,False,False,0,2025-05-01,2025-03-16,Medium,False,132297,22049.5,Subsistence (<1ha)
Borno,19,Male,Secondary,9,0.69,Cocoa,Sesame,Poultry,0,True,True,57438,25212,417,4297,True,True,438371,Farm Inputs,True,False,True,79,2025-04-03,,None,True,82650,9183.333333333334,Subsistence (<1ha)
Abia,19,Female,Tertiary,3,9.33,Oil Palm,Rubber,None,0,False,False,159679,46741,528,5776,True,False,0,None,False,False,True,89,2025-03-14,,None,False,206420,68806.66666666667,Medium (5-10ha)
Delta,18,Female,Primary,3,9.38,Tomato,Oil Palm,Poultry,0,True,False,192946,70179,322,2356,True,True,482640,Mechanization Services,False,True,True,99,2025-04-25,,Medium,True,263125,87708.33333333333,Medium (5-10ha)
Kogi,36,Female,Primary,8,1.37,Maize,Cassava,Fish Farming,2,True,True,180281,82741,848,7618,False,True,204946,Bundled Services,False,True,False,0,2025-04-20,2025-04-05,None,False,263022,32877.75,Small (1-5ha)
Ogun,24,Male,Secondary,11,9.42,Rice,Tomato,Sheep,4,True,False,166351,75476,622,8362,True,False,0,None,False,False,False,0,2025-04-14,2025-03-17,Medium,False,241827,21984.272727272728,Medium (5-10ha)
Osun,45,Female,None,10,9.49,Rice,Vegetables,Poultry,21,False,False,27157,12181,793,7972,False,False,0,None,False,False,True,88,2025-03-14,2025-04-25,None,True,39338,3933.8,Medium (5-10ha)
Kogi,41,Female,Tertiary,1,1.27,Cassava,Cocoa,Pigs,11,True,False,11939,301,486,785,True,True,125934,Bundled Services,True,False,False,0,2025-02-05,2025-04-15,High,True,12240,12240.0,Small (1-5ha)
Akwa Ibom,41,Female,None,7,6.14,Groundnut,Cassava,Goats,13,False,False,195822,14852,647,6751,True,True,226982,Farm Inputs,True,False,True,72,2025-03-11,2025-03-16,High,False,210674,30096.285714285714,Medium (5-10ha)
Anambra,21,Female,Tertiary,4,8.75,Yam,Soybean,None,0,False,True,12102,2983,311,3230,False,True,73847,Mechanization Services,True,False,False,0,2025-04-12,,High,True,15085,3771.25,Medium (5-10ha)
Zamfara,56,Female,Tertiary,5,2.21,Yam,Tomato,Goats,6,True,False,79409,22839,778,1222,False,True,130666,Mechanization Services,True,False,False,0,2025-03-18,2025-04-20,Low,False,102248,20449.6,Small (1-5ha)
Imo,62,Female,Tertiary,12,3.65,Cowpea,None,Fish Farming,3,False,False,160231,44328,446,6761,False,False,0,None,False,False,True,100,2025-04-22,2025-04-17,Low,False,204559,17046.583333333332,Small (1-5ha)
Anambra,54,Male,None,6,3.67,Cotton,Yam,Fish Farming,28,False,False,88521,455,718,6692,True,False,0,None,False,False,True,84,2025-02-16,2025-04-20,None,False,88976,14829.333333333334,Small (1-5ha)
Kwara,65,Male,Primary,1,4.26,Maize,Cowpea,Cattle,6,True,False,32943,9073,628,7160,True,False,0,None,False,False,True,91,2025-04-25,2025-04-02,None,False,42016,42016.0,Small (1-5ha)
Ekiti,29,Male,Primary,1,6.15,Cotton,Maize,Poultry,7,False,True,120623,9879,577,6048,False,True,425140,Farm Inputs,True,False,True,82,2025-04-18,2025-03-12,None,True,130502,130502.0,Medium (5-10ha)
Bauchi,58,Female,None,9,5.93,Cocoa,Rice,Cattle,4,False,False,132958,47920,791,3268,False,True,433171,Bundled Services,False,True,False,0,2025-04-19,2025-03-26,High,True,180878,20097.555555555555,Medium (5-10ha)
Adamawa,25,Male,None,5,2.56,Oil Palm,Maize,Cattle,4,False,False,88351,22308,337,7576,False,True,145095,Bundled Services,False,True,True,77,2025-02-08,2025-04-17,Low,False,110659,22131.8,Small (1-5ha)
Borno,63,Male,Primary,7,3.39,Soybean,Cotton,Pigs,6,True,True,199969,36224,456,8546,True,False,0,None,False,False,False,0,2025-03-07,2025-05-05,None,False,236193,33741.857142857145,Small (1-5ha)
Ekiti,38,Male,Primary,7,2.06,Oil Palm,Millet,Goats,20,False,True,55604,7240,834,7038,True,False,0,None,False,False,True,81,2025-02-20,2025-03-23,Medium,True,62844,8977.714285714286,Small (1-5ha)
Ogun,42,Female,Primary,8,2.54,Cocoa,Vegetables,None,4,True,False,112378,41432,626,6706,True,True,448175,Bundled Services,False,True,False,0,2025-03-02,2025-03-12,None,False,153810,19226.25,Small (1-5ha)
Osun,55,Female,Tertiary,4,2.64,Yam,Groundnut,Cattle,2,False,False,182920,3728,754,7727,True,True,449110,Farm Inputs,True,False,False,0,2025-02-11,2025-03-19,High,False,186648,46662.0,Small (1-5ha)
Bauchi,33,Male,Tertiary,12,6.77,Maize,Tomato,None,4,True,False,155127,47474,686,6793,True,True,326840,Mechanization Services,True,False,True,82,2025-03-12,2025-03-22,High,False,202601,16883.416666666668,Medium (5-10ha)
Plateau,21,Male,Tertiary,2,4.74,Cotton,Millet,Fish Farming,3,False,False,96949,31788,569,919,False,True,114516,Mechanization Services,False,True,True,77,2025-03-19,,High,False,128737,64368.5,Small (1-5ha)
Rivers,51,Male,None,10,7.91,Soybean,Cocoa,Sheep,14,True,True,49532,12693,713,785,True,True,105884,Farm Inputs,True,False,True,92,2025-04-24,2025-04-28,None,False,62225,6222.5,Medium (5-10ha)
Adamawa,46,Female,None,10,0.6,Groundnut,Yam,Pigs,5,True,True,115953,13961,664,9625,True,True,246715,Farm Inputs,True,False,False,0,2025-02-17,2025-03-07,Low,False,129914,12991.4,Subsistence (<1ha)
Bayelsa,63,Male,Tertiary,7,1.84,Cocoa,Rice,Goats,45,True,False,179087,9250,701,7362,False,False,0,None,False,False,True,90,2025-02-26,2025-04-14,Medium,False,188337,26905.285714285714,Small (1-5ha)
Kebbi,49,Female,Secondary,1,3.69,Groundnut,Cowpea,Cattle,18,True,False,125227,18665,637,9981,True,True,398159,Bundled Services,True,False,False,0,2025-02-12,2025-04-08,None,False,143892,143892.0,Small (1-5ha)
Anambra,56,Female,Tertiary,5,4.01,Yam,Sesame,Poultry,34,False,True,160995,14314,585,7007,True,False,0,None,False,False,True,83,2025-04-15,2025-03-27,None,False,175309,35061.8,Small (1-5ha)
Nasarawa,41,Female,Secondary,12,5.01,Yam,Cassava,Fish Farming,9,False,False,45697,12265,621,6940,False,False,0,None,False,False,True,70,2025-04-25,2025-04-04,Low,False,57962,4830.166666666667,Medium (5-10ha)
Edo,37,Female,Secondary,6,4.48,Cassava,Sorghum,Pigs,12,False,True,94856,35007,489,3554,False,True,154981,Bundled Services,True,False,True,86,2025-04-25,2025-04-22,None,False,129863,21643.833333333332,Small (1-5ha)
Rivers,28,Male,None,1,3.55,Groundnut,Oil Palm,Poultry,8,False,True,165768,23004,620,1563,True,False,0,None,False,False,True,80,2025-02-19,2025-04-21,Low,True,188772,188772.0,Small (1-5ha)
Osun,21,Male,Tertiary,2,7.23,Oil Palm,Rubber,Goats,3,False,False,155252,47659,302,9485,True,True,234823,Mechanization Services,True,False,False,0,2025-04-01,,None,False,202911,101455.5,Medium (5-10ha)
Benue,51,Male,Tertiary,2,5.89,Vegetables,Cocoa,Poultry,4,True,True,59363,27733,469,4812,True,False,0,None,False,False,False,0,2025-02-25,2025-05-02,None,False,87096,43548.0,Medium (5-10ha)
Bauchi,26,Female,Tertiary,6,6.2,Yam,Sesame,Goats,4,True,False,13781,6049,376,8816,True,False,0,None,False,False,True,80,2025-04-02,2025-04-07,High,False,19830,3305.0,Medium (5-10ha)
Plateau,19,Female,None,6,3.29,Rubber,None,Pigs,1,True,False,151469,6401,710,9393,True,True,88007,Mechanization Services,True,False,False,0,2025-03-22,,Medium,False,157870,26311.666666666668,Small (1-5ha)
Jigawa,42,Male,Secondary,7,0.48,Soybean,Tomato,Sheep,2,True,True,32497,13711,707,4182,False,False,0,None,False,False,False,0,2025-03-11,2025-03-17,Medium,False,46208,6601.142857142857,Subsistence (<1ha)
Borno,32,Female,None,9,9.46,Sorghum,None,Fish Farming,0,True,False,190269,27105,400,1946,False,False,0,None,False,False,True,74,2025-02-05,2025-04-17,High,False,217374,24152.666666666668,Medium (5-10ha)
Enugu,19,Male,Primary,9,2.01,Sesame,Groundnut,Pigs,1,True,True,82721,2513,394,3120,True,True,430453,Bundled Services,False,True,True,100,2025-02-15,,High,False,85234,9470.444444444445,Small (1-5ha)
Kaduna,41,Male,Primary,8,7.26,Sesame,Tomato,None,13,False,False,48576,18925,771,6540,True,True,306486,Bundled Services,True,False,True,85,2025-02-07,2025-03-11,Medium,False,67501,8437.625,Medium (5-10ha)
Ogun,62,Male,Secondary,2,0.29,Oil Palm,Soybean,Poultry,17,True,True,169382,49538,561,2820,True,False,0,None,False,False,True,75,2025-03-23,2025-04-12,Medium,False,218920,109460.0,Subsistence (<1ha)
Rivers,38,Female,Primary,7,2.89,Cassava,Oil Palm,Fish Farming,0,False,False,155736,47486,467,6417,False,True,41673,Bundled Services,True,False,False,0,2025-04-22,2025-04-22,High,True,203222,29031.714285714286,Small (1-5ha)
Benue,50,Female,Secondary,3,9.58,Vegetables,Cocoa,Poultry,11,True,True,18703,3305,536,4130,False,True,355957,Farm Inputs,True,False,False,0,2025-02-16,2025-05-03,Low,False,22008,7336.0,Medium (5-10ha)
