Enterprise_ID,Farmer_ID,Enterprise_Type,Primary_Crop,Secondary_Crop,Farm_Size_Ha,Farm_Size_Category,Farming_Experience_Years,Farming_Equipment_Type,Uses_Irrigation,Depends_on_Rain,Uses_Fertilizer,Uses_Improved_Seeds,Yield_per_Hectare_Tons,Profit_NGN,Monthly_Income_NGN,Monthly_Expense_NGN,Value_of_Farm_Assets_NGN,Total_Operating_Expenditure_NGN,Farm_Income_NGN
E0000001,NGF000001,Crop,Cassava,Maize,0.31,Subsistence (<1ha),35,Traditional,False,True,False,False,20.93,758000.0,64917.0,1750.0,93000.0,21000.0,779000.0
E0000002,NGF000001,Poultry,,,0.0,,35,N/A,False,True,False,False,0.0,0.0,0.0,0.0,93000.0,0.0,0.0
E0000003,NGF000002,Crop,Yam,Cowpea,1.75,Small (1-5ha),38,Traditional,False,True,False,False,14.24,6715000.0,581500.0,21917.0,525000.0,263000.0,6978000.0
E0000004,NGF000003,Crop,Sorghum,Rice,2.02,Small (1-5ha),33,Traditional,True,False,False,False,2.27,592000.0,72667.0,23333.0,606000.0,280000.0,872000.0
E0000005,NGF000004,Crop,Rice,Yam,2.47,Small (1-5ha),31,Traditional,False,True,False,False,4.12,3034000.0,296917.0,44083.0,741000.0,529000.0,3563000.0
E0000006,NGF000005,Crop,Sorghum,Groundnut,0.41,Subsistence (<1ha),12,Traditional,False,True,False,False,2.61,168000.0,16917.0,2917.0,123000.0,35000.0,203000.0
E0000007,NGF000006,Crop,Rice,Sesame,3.82,Small (1-5ha),3,Traditional,False,True,False,True,2.29,2332000.0,255167.0,60833.0,1146000.0,730000.0,3062000.0
E0000008,NGF000007,Crop,Millet,Cotton,0.75,Subsistence (<1ha),17,Traditional,False,True,True,False,2.89,326000.0,32583.0,5417.0,225000.0,65000.0,391000.0
E0000009,NGF000008,Crop,Yam,Sorghum,1.67,Small (1-5ha),16,Unknown,False,True,False,False,11.28,5016000.0,439583.0,21583.0,501000.0,259000.0,5275000.0
E0000010,NGF000008,Poultry,,,0.0,,16,N/A,False,True,False,False,0.0,0.0,0.0,0.0,501000.0,0.0,0.0
E0000011,NGF000009,Crop,Cassava,Plantain,0.69,Subsistence (<1ha),9,Traditional,False,True,False,True,20.77,1678000.0,143333.0,3500.0,207000.0,42000.0,1720000.0
E0000012,NGF000010,Crop,Millet,Maize,2.3,Small (1-5ha),5,Traditional,False,True,True,True,2.48,769000.0,85500.0,21417.0,690000.0,257000.0,1026000.0
