farmer_id,age,gender,education_level_years,education_category,marital_status,household_size,state,off_farm_income_ngn,farming_experience_years,farm_size_ha,primary_enterprise,annual_farm_income_ngn,operating_expenditure_ngn,value_farm_assets_ngn,cooperative_member,requests_loan,loan_amount_requested_ngn,loan_purpose,interest_rate_annual_perc,loan_tenure_months,disbursement_lag_days,loan_supervision_visits,utility_payment_timeliness,rent_payment_timeliness,phone_bill_timeliness,value_chain_platform_registered,years_on_platform,marketplace_sales_ngn_last_year,soil_type_known,uses_irrigation,pest_disease_control_method,yield_rating_score_1_10,yield_consistency_rating,post_harvest_loss_perc,smartphone_owner,mobile_money_usage_frequency,active_on_agri_forums,distance_to_market_km,distance_to_lender_km,simulated_creditworthiness_score,loan_repayment_status
FARMER_1001,53,Female,0,None,Single,10,Plateau,0.0,3,5.67,Cocoa,1147885.69,564409.46,1987521.81,False,False,0.0,N/A,0.0,0,0,0,Excellent,N/A,Fair,False,0,0.0,True,False,Modern Chemical,6,Low,26.32,True,Daily,False,41.1,0.0,,N/A
FARMER_1002,55,Female,3,Primary Incomplete,Married,15,Adamawa,250896.0,28,47.66,Sorghum,6558102.22,4973846.55,13029126.39,False,True,660000.0,Bundled Services Loan,19.26,9,22,0,Fair,Good,Poor,True,3,1139209.5,False,False,Modern Chemical,7,High,25.0,True,Daily,False,66.8,117.4,4.0,Defaulted
FARMER_1003,58,Female,6,Primary Complete,Married,8,Jigawa,187012.27,14,1.77,Aquaculture,933873.25,717583.24,1809063.12,True,True,310000.0,Asset Acquisition,16.55,9,72,0,Poor,Good,Fair,False,0,0.0,True,False,Modern Chemical,6,Low,36.96,False,Never,False,55.3,25.6,1.0,Defaulted
FARMER_1004,19,Male,12,Secondary Complete,Married,3,Kebbi,0.0,3,48.88,Sorghum,4259770.33,3239463.75,9660234.37,False,True,280000.0,Mechanization Loan,13.88,12,74,4,Excellent,Good,Excellent,False,0,0.0,False,False,Modern Chemical,6,High,31.52,True,Rarely,False,50.7,33.0,4.0,Partially Repaid
FARMER_1005,38,Male,14,OND/NCE,Widowed,5,Bauchi,0.0,15,4.27,Goats/Sheep,1404775.75,1122182.73,2268886.46,False,True,1480000.0,Bundled Services Loan,15.15,6,79,1,Excellent,Poor,Poor,False,0,0.0,False,False,Organic,4,High,26.15,True,Weekly,True,37.9,19.4,4.0,Partially Repaid
FARMER_1006,58,Male,6,Primary Complete,Married,8,Taraba,0.0,34,6.46,Poultry,3233869.83,2123460.08,9741180.69,True,True,1940000.0,Input Loan,18.46,12,14,3,Fair,Excellent,Poor,False,0,0.0,True,True,Traditional,7,Medium,22.55,True,Rarely,False,42.8,6.4,2.0,Partially Repaid
FARMER_1007,23,Male,12,Secondary Complete,Married,6,Kwara,0.0,7,5.18,Maize,483433.51,371199.38,1518852.65,False,True,840000.0,Bundled Services Loan,31.49,6,33,0,Good,Good,Poor,False,0,0.0,True,False,Organic,5,High,28.83,False,Never,False,68.4,67.8,1.0,Fully Repaid
FARMER_1008,32,Male,14,OND/NCE,Single,14,Ogun,0.0,15,2.06,Sorghum,194640.09,84035.56,460979.8,False,False,0.0,N/A,0.0,0,0,0,Excellent,Poor,Good,False,0,0.0,True,True,Organic,6,High,21.54,True,Never,True,37.5,0.0,,N/A
FARMER_1009,30,Male,3,Primary Incomplete,Married,15,Ondo,226563.29,2,8.07,Poultry,2001593.64,1151017.44,2449346.5,False,True,1450000.0,Input Loan,21.63,18,47,3,Excellent,Good,Good,True,3,679102.88,False,False,Modern Chemical,7,High,28.92,True,Weekly,False,47.7,125.2,7.0,Fully Repaid
FARMER_1010,23,Male,12,Secondary Complete,Married,5,Ekiti,212332.92,7,3.02,Poultry,1201432.22,845573.51,3411053.5,False,True,1920000.0,Working Capital,24.03,12,66,0,Poor,Excellent,Poor,True,5,296835.84,True,True,Modern Chemical,6,Low,11.73,False,Never,False,46.6,150.0,4.0,Defaulted
FARMER_1011,42,Female,9,Secondary Incomplete,Married,15,Bauchi,29841.76,25,0.93,Poultry,426258.32,253273.02,1258616.04,True,True,1450000.0,Input Loan,24.13,9,9,4,Excellent,Good,Good,False,0,0.0,False,True,Modern Chemical,6,Low,5.54,False,Never,False,15.1,76.2,4.0,Partially Repaid
FARMER_1012,20,Female,3,Primary Incomplete,Divorced,4,Imo,0.0,4,35.02,Poultry,1877436.76,1016503.19,6891328.73,False,True,480000.0,Input Loan,19.75,6,80,0,Good,Good,Poor,False,0,0.0,True,False,Traditional,5,High,6.33,True,Weekly,False,31.3,32.2,3.0,Partially Repaid
FARMER_1013,49,Female,9,Secondary Incomplete,Married,10,Jigawa,0.0,33,31.57,Oil Palm,4910674.64,3357908.0,12534511.58,False,True,530000.0,Bundled Services Loan,15.42,18,34,4,Fair,N/A,Fair,True,3,3526812.74,True,False,None,4,High,7.02,True,Weekly,False,58.8,53.8,3.0,Partially Repaid
FARMER_1014,33,Male,14,OND/NCE,Married,13,Anambra,196659.57,17,5.58,Aquaculture,3368697.61,1452492.09,9495713.41,False,True,1100000.0,Working Capital,24.75,18,42,0,Poor,Excellent,Poor,True,4,2574299.15,True,False,Traditional,6,High,9.09,True,Weekly,False,67.0,62.6,6.0,Partially Repaid
FARMER_1015,53,Female,14,OND/NCE,Married,3,Delta,75720.14,5,21.38,Rice,3553486.68,2049077.68,5160543.02,False,False,0.0,N/A,0.0,0,0,0,Poor,Poor,Poor,True,2,455347.97,True,False,Modern Chemical,6,Medium,7.52,True,Monthly,True,17.2,0.0,,N/A
