farmer_id,age,gender,education_level_years,education_category,marital_status,household_size,state,off_farm_income_ngn,farming_experience_years,farm_size_ha,primary_enterprise,annual_farm_income_ngn,operating_expenditure_ngn,value_farm_assets_ngn,cooperative_member,requests_loan,loan_amount_requested_ngn,loan_purpose,interest_rate_annual_perc,loan_tenure_months,disbursement_lag_days,loan_supervision_visits,utility_payment_timeliness,rent_payment_timeliness,phone_bill_timeliness,value_chain_platform_registered,years_on_platform,marketplace_sales_ngn_last_year,soil_type_known,uses_irrigation,pest_disease_control_method,yield_rating_score_1_10,yield_consistency_rating,post_harvest_loss_perc,smartphone_owner,mobile_money_usage_frequency,active_on_agri_forums,distance_to_market_km,distance_to_lender_km,simulated_creditworthiness_score,loan_repayment_status
FARMER_1001,47,Male,0,None,Widowed,12,Anambra,0.0,4,18.73,Oil Palm,4705551.55,2020983.59,8358148.23,False,True,570000.0,Input Loan,12.52,9,78,3,Excellent,N/A,Excellent,True,0,0.0,True,True,Integrated Pest Management,6,Medium,18.22,True,Daily,False,23.2,143.7,5.0,Partially Repaid
FARMER_1002,41,Female,12,Secondary Complete,Divorced,8,Sokoto,27582.01,3,3.71,Aquaculture,1567508.87,740716.14,3204416.63,False,True,1310000.0,Bundled Services Loan,30.35,12,27,1,Poor,Good,Good,False,0,0.0,True,False,None,3,Low,11.87,True,Monthly,False,28.3,119.5,2.0,Partially Repaid
FARMER_1003,52,Female,3,Primary Incomplete,Married,8,Ogun,0.0,7,9.44,Maize,1182705.61,900781.86,2184720.92,True,False,0.0,N/A,0.0,0,0,0,Excellent,Excellent,Good,False,0,0.0,True,False,Integrated Pest Management,7,Low,30.07,False,Never,False,36.8,0.0,,N/A
FARMER_1004,40,Male,16,HND/BSc,Married,5,Ogun,0.0,24,3.33,Maize,360238.51,162946.62,581224.96,False,False,0.0,N/A,0.0,0,0,0,Good,Fair,Excellent,False,0,0.0,False,True,Modern Chemical,8,Low,33.51,True,Weekly,False,42.2,0.0,,N/A
FARMER_1005,33,Female,6,Primary Complete,Married,4,Jigawa,0.0,17,0.56,Poultry,247819.41,185560.08,543558.56,False,True,750000.0,Land Expansion,31.07,12,33,5,Fair,Fair,Excellent,False,0,0.0,True,False,Organic,5,Low,21.05,False,Never,False,14.2,106.4,-1.0,Defaulted
FARMER_1006,34,Female,0,None,Married,10,Kebbi,138718.62,2,9.72,Oil Palm,2105353.17,1472448.87,6124519.83,False,False,0.0,N/A,0.0,0,0,0,Good,Fair,Poor,True,1,1304631.88,True,False,None,3,High,39.27,False,Never,False,13.1,0.0,,N/A
FARMER_1007,40,Male,0,None,Married,4,Rivers,102761.81,13,2.22,Sorghum,237593.43,114321.72,614104.84,False,True,1450000.0,Bundled Services Loan,14.21,12,54,3,Excellent,N/A,Fair,True,0,0.0,False,False,Integrated Pest Management,5,Low,36.77,True,Weekly,False,15.4,25.4,2.0,Partially Repaid
FARMER_1008,31,Male,12,Secondary Complete,Married,12,Lagos,0.0,3,5.48,Rice,1110504.61,764526.15,2311107.84,True,True,830000.0,Working Capital,13.85,9,38,2,Poor,Fair,Excellent,False,0,0.0,True,False,Traditional,5,High,34.52,True,Daily,False,37.0,34.7,3.0,Fully Repaid
FARMER_1009,49,Female,3,Primary Incomplete,Married,10,Jigawa,84679.66,29,3.87,Goats/Sheep,1216262.09,825201.04,2006692.29,True,False,0.0,N/A,0.0,0,0,0,Poor,Poor,Fair,False,0,0.0,True,False,Integrated Pest Management,6,Low,12.36,False,Never,False,32.0,0.0,,N/A
FARMER_1010,48,Male,12,Secondary Complete,Married,5,Enugu,0.0,24,0.31,Vegetables,45479.09,26387.4,115910.4,True,False,0.0,N/A,0.0,0,0,0,Fair,N/A,Excellent,True,3,22975.6,True,True,None,4,Medium,21.03,True,Rarely,False,62.1,0.0,,N/A
