Farmer_ID,Age,Gender,Education_Level,Marital_Status,Household_Size,Offfarm_Income,Region,State,Has_Bank_Account,Owns_Smartphone,Uses_Mobile_Money
FARMER_00001,58,Male,0,Married,5,30000,North East,Yobe,Yes,Yes,Yes
FARMER_00002,25,Female,0,Single,5,0,South West,Lagos,Yes,No,No
FARMER_00003,62,Male,12,Divorced,1,106000,North West,Kebbi,Yes,Yes,No
FARMER_00004,38,Female,0,Widowed,3,37000,North Central,FCT,No,Yes,Yes
FARMER_00005,60,Female,3,Married,9,97000,South West,Ogun,Yes,Yes,Yes
FARMER_00006,28,Female,6,Single,4,0,South East,Ebonyi,Yes,No,No
FARMER_00007,22,Male,12,Single,1,0,North Central,FCT,Yes,No,No
FARMER_00008,68,Female,14,Widowed,2,451000,North Central,Benue,Yes,Yes,Yes
FARMER_00009,20,Male,12,Single,2,297000,North East,Borno,Yes,No,No
FARMER_00010,63,Female,6,Married,2,0,North Central,Benue,No,Yes,No
FARMER_00011,66,Female,6,Widowed,3,0,South West,Ogun,Yes,No,No
FARMER_00012,35,Female,3,Married,6,0,North Central,Kogi,Yes,No,No
FARMER_00013,47,Female,6,Married,5,124000,South South,Edo,Yes,No,No
FARMER_00014,43,Female,0,Married,2,66000,North West,Katsina,Yes,Yes,Yes
FARMER_00015,65,Female,6,Married,6,0,North West,Kaduna,Yes,Yes,Yes
FARMER_00016,38,Female,6,Widowed,4,0,South East,Abia,No,Yes,Yes
FARMER_00017,42,Male,16,Married,4,0,North West,Kaduna,No,No,No
FARMER_00018,46,Male,12,Widowed,1,111000,North Central,Kwara,Yes,Yes,Yes
FARMER_00019,70,Female,0,Married,2,0,North West,Zamfara,Yes,No,No
FARMER_00020,26,Female,12,Single,1,172000,South East,Imo,Yes,Yes,Yes
FARMER_00021,24,Male,14,Married,4,0,South East,Enugu,Yes,No,No
FARMER_00022,40,Female,0,Married,5,0,North West,Zamfara,No,No,No
FARMER_00023,36,Female,9,Married,3,220000,South East,Abia,Yes,No,No
FARMER_00024,65,Female,3,Married,3,0,North East,Borno,Yes,Yes,No
FARMER_00025,57,Female,6,Married,2,131000,South West,Ekiti,Yes,Yes,Yes
FARMER_00026,39,Male,6,Married,5,122000,South South,Delta,Yes,No,No
FARMER_00027,57,Male,9,Married,4,0,South East,Ebonyi,No,Yes,Yes
FARMER_00028,41,Male,0,Widowed,6,0,South South,Delta,Yes,Yes,No
FARMER_00029,58,Male,14,Single,4,246000,South West,Ekiti,No,Yes,Yes
FARMER_00030,45,Male,9,Married,3,159000,South West,Osun,No,Yes,Yes
FARMER_00031,27,Female,0,Single,3,72000,South South,Akwa Ibom,No,No,No
FARMER_00032,46,Male,14,Married,3,0,North West,Kebbi,No,No,No
FARMER_00033,39,Male,6,Married,7,0,North Central,Kwara,No,Yes,Yes
FARMER_00034,24,Female,9,Widowed,5,0,South South,Delta,Yes,Yes,Yes
FARMER_00035,62,Male,0,Married,8,60000,South West,Ogun,Yes,No,No
FARMER_00036,21,Male,12,Single,2,194000,South South,Cross River,Yes,No,No
FARMER_00037,67,Male,12,Married,2,0,South South,Edo,Yes,No,No
FARMER_00038,39,Female,6,Married,6,0,South South,Cross River,No,Yes,Yes
FARMER_00039,48,Female,16,Single,4,439000,North Central,Kogi,Yes,No,No
FARMER_00040,22,Male,0,Married,4,52000,South East,Ebonyi,Yes,Yes,Yes
FARMER_00041,50,Female,6,Single,4,0,North West,Katsina,No,Yes,No
FARMER_00042,44,Female,9,Married,5,166000,South South,Bayelsa,No,No,No
FARMER_00043,22,Male,14,Married,4,0,North Central,Plateau,Yes,No,No
FARMER_00044,65,Female,6,Married,7,122000,South South,Rivers,Yes,No,No
FARMER_00045,58,Male,12,Single,4,0,North Central,Kogi,Yes,No,No
FARMER_00046,37,Male,9,Married,5,0,North East,Yobe,Yes,No,No
FARMER_00047,22,Female,12,Married,4,255000,North East,Adamawa,No,No,No
FARMER_00048,64,Male,9,Married,8,154000,North West,Kaduna,Yes,Yes,Yes
FARMER_00049,46,Female,9,Married,8,0,South West,Lagos,No,No,No
FARMER_00050,37,Male,14,Married,4,0,South East,Ebonyi,No,No,No
FARMER_00051,66,Male,3,Married,10,128000,North Central,FCT,No,No,No
FARMER_00052,54,Female,12,Married,3,0,South South,Bayelsa,Yes,No,No
FARMER_00053,65,Male,16,Married,9,0,South South,Bayelsa,No,Yes,Yes
FARMER_00054,35,Male,6,Married,3,0,South South,Delta,Yes,Yes,Yes
FARMER_00055,33,Male,6,Married,3,146000,South South,Akwa Ibom,Yes,No,No
FARMER_00056,65,Male,9,Married,8,214000,South West,Ondo,No,Yes,Yes
FARMER_00057,26,Male,14,Single,1,0,North West,Jigawa,No,Yes,No
FARMER_00058,47,Male,0,Married,8,0,North Central,Nasarawa,No,Yes,Yes
FARMER_00059,68,Female,6,Married,7,0,North West,Sokoto,Yes,Yes,Yes
FARMER_00060,28,Female,12,Divorced,6,241000,North West,Zamfara,No,No,No
FARMER_00061,39,Male,18,Married,6,0,North East,Yobe,Yes,Yes,Yes
FARMER_00062,35,Male,0,Married,2,42000,North East,Yobe,Yes,No,No
FARMER_00063,31,Male,0,Married,7,75000,South South,Delta,No,Yes,No
FARMER_00064,24,Male,14,Married,3,0,North West,Jigawa,Yes,Yes,Yes
FARMER_00065,30,Female,3,Divorced,6,0,North East,Taraba,No,No,No
FARMER_00066,19,Female,12,Single,2,247000,North Central,FCT,No,Yes,No
FARMER_00067,58,Female,6,Widowed,4,103000,South West,Lagos,No,No,No
FARMER_00068,22,Male,16,Married,3,0,North West,Kano,Yes,Yes,No
FARMER_00069,26,Male,6,Married,6,123000,South West,Lagos,No,Yes,Yes
FARMER_00070,21,Male,12,Single,2,0,South East,Ebonyi,Yes,Yes,Yes
FARMER_00071,53,Female,14,Married,10,0,South South,Edo,No,Yes,No
