Loan_ID,Farmer_ID,Enterprise_ID,Loan_Amount,Interest_Rate,Loan_Date,Loan_Use_Status,Loan_Repayment_Amount,Repayment_Date,Duration_Months,Loan_Use_Duration,Credit_Worthiness_Status,Loan_Asset_Ratio,OpEx_Income_Ratio,Loan_Source,Loan_Supervision_Frequency,Distance_to_Lender,Disbursement_Lag,Has_Defaulted,Default_Reason
LOAN_0000001,FARMER_00001,ENT_000001,105000,11.5,2020-02-03,No,111038,2020-08-01,6,3,Non-creditworthy,0.14,0.72,Government Program,0,73.2,4,No,N/A
LOAN_0000002,FARMER_00002,ENT_000002,340000,15.9,2022-06-07,No,367030,2022-12-04,6,2,Creditworthy,0.01,0.75,Microfinance Bank,3,38.6,5,No,N/A
LOAN_0000003,FARMER_00003,ENT_000004,205000,34.9,2017-09-16,Yes,240773,2018-03-15,6,2,Creditworthy,0.01,0.63,Family/Friends,1,79.4,3,No,N/A
LOAN_0000004,FARMER_00003,ENT_000005,135000,5.3,2016-11-18,No,48716,2018-02-11,18,1,Non-creditworthy,0.01,0.59,Family/Friends,5,27.1,4,Yes,Illness of Farmer
LOAN_0000005,FARMER_00003,ENT_000005,90000,8.2,2019-11-17,Yes,97380,2020-11-11,12,3,Creditworthy,0.01,0.59,Informal Lender,4,91.9,4,No,N/A
LOAN_0000006,FARMER_00004,ENT_000006,1080000,17.7,2021-09-25,Yes,1366740,2023-03-19,18,12,Non-creditworthy,0.02,0.78,Informal Lender,3,13.0,1,No,N/A
LOAN_0000007,FARMER_00004,ENT_000006,220000,5.6,2024-04-19,Yes,105306,2024-06-18,6,1,Non-creditworthy,0.0,0.78,Commercial Bank,2,8.0,1,Yes,Drought/Flood
LOAN_0000008,FARMER_00005,ENT_000007,210000,8.3,2018-04-18,No,227430,2019-04-13,12,5,Non-creditworthy,0.05,0.44,Microfinance Bank,0,44.9,6,No,N/A
LOAN_0000009,FARMER_00007,ENT_000012,705000,25.0,2024-11-04,Yes,115776,2025-04-03,18,9,Non-creditworthy,0.33,0.62,Cooperative,4,21.9,2,Yes,Pest Attack
LOAN_0000010,FARMER_00007,ENT_000012,870000,30.6,2024-05-28,Yes,1003110,2024-11-24,6,3,Creditworthy,0.41,0.62,Commercial Bank,2,77.3,5,No,N/A
LOAN_0000011,FARMER_00007,ENT_000013,965000,21.4,2022-10-18,Yes,274982,2022-12-17,24,12,Non-creditworthy,0.06,0.4,Microfinance Bank,5,25.7,0,Yes,Diversion of Funds
