monthly_mobile_spend_naira,post_harvest_loss_perc,distance_to_market_km,distance_to_bank_km,percentage_sold_unprocessed,percentage_consumed,income_per_capita_ngn,annual_farm_revenue_ngn,annual_farm_yield_tons_per_ha,farm_size_ha,farming_experience_years,age,education_category,primary_crop,mobile_money_usage_frequency,creditworthiness_category,mobile_money_activity_score_1_10,cooperative_repayment_rate_percent,prior_loan_repayment_rate,has_off_farm_income,credit_score,gender,has_land_title,has_weather_insurance,smartphone_owner,cooperative_member,has_prior_loan,household_size
261,35.35,54.2,98.5,26.7,35.3,184800.0,924000.0,24.85,0.31,35,56,Secondary Incomplete,Cassava,Never,Good,1,74,0.0,False,645,Male,False,False,False,True,False,5
1198,13.51,18.0,87.5,23.1,34.1,708200.0,6978000.0,14.24,1.75,38,54,Primary Complete,Yam,Rarely,Fair,2,0,0.0,True,581,Male,False,False,True,False,False,10
3766,40.15,17.7,7.3,7.2,15.3,231250.0,925000.0,2.41,2.02,33,62,Primary Complete,Sorghum,Rarely,Fair,7,0,0.0,False,585,Male,False,False,True,False,False,4
2236,37.02,20.3,107.5,28.7,9.9,296917.0,3563000.0,4.12,2.47,31,58,Primary Complete,Rice,Daily,Poor,3,89,0.49,False,523,Male,False,False,True,True,True,12
3159,42.39,65.3,24.5,7.7,16.4,206667.0,226000.0,2.9,0.41,12,53,Secondary Complete,Sorghum,Weekly,Very Good,9,0,0.0,True,666,Male,False,False,True,False,False,3
416,28.3,47.1,112.9,29.2,9.5,1145667.0,3437000.0,2.57,3.82,3,19,Primary Complete,Rice,Never,Very Poor,1,0,0.48,False,426,Male,False,False,False,False,True,3
2760,20.41,43.3,52.1,6.8,19.6,58615.0,430000.0,3.18,0.75,17,33,OND/NCE,Millet,Rarely,Excellent,3,71,0.0,True,736,Female,True,False,True,True,False,13
5768,24.78,18.5,25.5,21.0,28.2,412000.0,5275000.0,11.28,1.67,16,63,No Formal Education,Yam,Rarely,Good,7,0,0.59,True,625,Male,False,False,True,False,True,13
1057,16.94,6.3,70.0,26.1,35.3,551000.0,2042000.0,24.67,0.69,9,25,Secondary Incomplete,Cassava,Never,Poor,1,0,0.0,True,542,Male,False,False,False,False,False,4
912,27.56,56.5,79.8,28.4,38.3,38091.0,419000.0,21.83,0.16,23,42,No Formal Education,Cassava,Never,Poor,1,98,0.48,False,518,Male,False,False,False,True,True,11
1865,16.16,28.6,44.1,27.6,9.4,46222.0,416000.0,3.84,0.31,23,39,Secondary Complete,Rice,Monthly,Good,8,74,0.0,False,624,Male,False,False,True,True,False,9
4213,12.18,6.4,25.6,23.0,26.6,409333.0,2348000.0,1.1,5.34,29,45,Primary Incomplete,Cowpea,Daily,Good,1,0,0.0,True,646,Male,False,False,True,False,False,6
4962,33.12,51.6,94.5,21.4,35.5,296833.0,3562000.0,8.83,1.44,14,53,Primary Incomplete,Yam,Weekly,Poor,5,0,0.0,False,559,Female,False,False,True,False,False,12
2659,17.58,7.0,148.9,16.9,35.1,1277000.0,15324000.0,16.84,3.25,30,46,Primary Complete,Yam,Monthly,Fair,4,0,0.0,False,575,Male,False,False,True,False,False,12
3665,16.31,7.4,91.1,38.0,7.5,265700.0,2462000.0,1.1,4.97,13,33,Primary Complete,Groundnut,Weekly,Excellent,3,88,0.0,True,752,Male,False,False,True,True,False,10
393,41.14,63.1,104.9,25.9,25.3,35100.0,220000.0,2.11,0.52,5,40,Primary Complete,Maize,Never,Fair,1,89,0.0,True,584,Female,False,False,False,True,False,10
769,13.76,25.9,50.7,8.2,22.4,40143.0,281000.0,1.84,0.85,24,40,Primary Complete,Millet,Never,Fair,1,0,0.0,False,563,Male,False,False,False,False,False,7
4725,41.61,16.9,60.8,21.2,25.6,110818.0,955000.0,17.03,0.2,14,30,Secondary Incomplete,Yam,Monthly,Very Good,8,0,0.0,True,667,Female,False,False,True,False,False,11
3265,44.5,59.4,43.2,24.4,29.0,1920000.0,5760000.0,4.74,2.43,16,45,No Formal Education,Oil Palm,Monthly,Good,9,90,0.0,False,642,Male,False,False,True,True,False,3
205,7.69,16.1,25.2,24.3,24.7,171000.0,684000.0,1.58,1.08,14,45,Primary Complete,Beans,Never,Poor,1,0,0.0,False,529,Male,False,False,False,False,False,4
948,20.05,34.3,67.0,20.1,22.1,123846.0,1448000.0,2.66,2.72,18,55,Primary Complete,Maize,Never,Good,1,97,0.65,True,645,Male,False,False,False,True,True,13
4646,11.87,5.7,95.2,28.7,37.1,429000.0,1716000.0,18.57,0.77,3,30,Secondary Complete,Cassava,Monthly,Fair,2,0,0.0,False,568,Male,False,False,True,False,False,4
1133,23.51,25.8,138.5,34.3,7.4,61600.0,616000.0,2.17,0.63,39,55,HND/BSc,Groundnut,Never,Poor,1,0,0.0,False,549,Male,False,False,False,False,False,10
1178,30.84,56.7,17.4,25.1,35.2,822400.0,3998000.0,18.41,1.81,38,54,Primary Incomplete,Cassava,Never,Fair,1,0,0.0,True,600,Female,False,False,False,False,False,5
815,7.09,22.6,10.8,17.2,25.3,2440667.0,14644000.0,15.52,3.37,34,50,OND/NCE,Yam,Never,Fair,1,61,0.0,False,584,Male,False,False,False,True,False,6
3358,16.65,12.7,78.1,7.9,15.7,40786.0,239000.0,2.38,0.53,1,17,Secondary Complete,Sorghum,Weekly,Very Good,4,0,0.0,True,669,Male,False,False,True,False,False,14
441,32.68,43.2,44.1,26.7,23.1,106692.0,1290000.0,2.58,2.5,4,41,Primary Complete,Maize,Never,Fair,1,0,0.0,True,586,Female,False,False,False,False,False,13
906,20.92,50.0,92.8,17.0,27.3,447000.0,1190000.0,9.89,0.43,1,17,Primary Complete,Yam,Weekly,Poor,6,0,0.49,True,490,Male,False,False,True,False,True,3
291,38.26,42.6,84.4,22.9,38.0,463667.0,4048000.0,22.19,1.52,21,41,Secondary Incomplete,Cassava,Never,Good,1,0,0.0,True,627,Female,False,False,False,False,False,9
1608,34.37,6.8,39.9,22.7,19.7,46182.0,508000.0,0.97,1.31,20,42,No Formal Education,Cowpea,Rarely,Poor,8,0,0.0,False,530,Male,False,False,True,False,False,11
1445,10.15,26.1,104.3,22.4,33.8,882000.0,7938000.0,17.39,1.63,24,59,Primary Complete,Yam,Rarely,Good,5,61,0.0,False,645,Male,False,False,True,True,False,9
671,27.44,48.5,49.4,30.5,32.9,88800.0,242000.0,18.34,0.11,33,49,Primary Complete,Cassava,Never,Fair,1,0,0.0,True,597,Male,False,False,False,False,False,5
1077,14.7,6.7,57.8,23.3,27.0,312286.0,1646000.0,14.69,0.4,6,41,OND/NCE,Yam,Never,Fair,1,0,0.0,True,610,Female,False,False,False,False,False,7
113,5.56,21.5,111.2,5.8,16.1,109000.0,344000.0,1.63,1.11,18,34,No Formal Education,Sorghum,Never,Fair,1,0,0.0,True,572,Female,False,False,False,False,False,4
